id,age,Дата первого занятия,Курс,М2
13596,12,21.02.2021,Python Базовый,0
13598,12,21.02.2021,Python Базовый,1
13600,14,21.02.2021,Python Базовый,1
13601,15,21.02.2021,Python Базовый,0
13605,12,21.02.2021,Python Базовый,0
13609,14,21.02.2021,Python Базовый,0
13615,12,21.02.2021,Python Базовый,0
13616,12,21.02.2021,Python Базовый,1
13632,,28.02.2021,Python Базовый,1
13636,,21.02.2021,Python Базовый,1
13641,14,21.02.2021,Python Базовый,1
13651,13,21.02.2021,Веб-дизайн,1
13652,,21.02.2021,Python Базовый,1
13657,11,21.02.2021,Python Базовый,0
13658,13,21.02.2021,Python Базовый,0
13659,11,21.02.2021,Python Базовый,1
13660,15,28.02.2021,Python Базовый,0
13661,,21.02.2021,Python Базовый,0
13667,13,28.03.2021,Python Базовый,0
13677,,21.02.2021,Python Базовый,1
13682,14,21.02.2021,Python Базовый,1
13683,12,14.02.2021,Веб-дизайн,1
13690,13,21.02.2021,Python Базовый,1
13694,,14.02.2021,Python Базовый,0
13697,13,14.02.2021,Python Базовый,1
13701,15,14.02.2021,Веб-дизайн,0
13703,,21.02.2021,Python Базовый,1
13711,,21.02.2021,Python Базовый,1
13712,14,14.02.2021,Python Базовый,0
13713,15,21.02.2021,Python Базовый,1
13714,12,21.02.2021,Python Базовый,1
13718,13,21.02.2021,Python Базовый,1
13719,12,14.02.2021,Python Базовый,0
13721,10,21.02.2021,Python Базовый,1
13729,14,21.02.2021,Python Базовый,1
13731,10,14.02.2021,Python Базовый,0
13736,13,14.02.2021,Python Базовый,0
13738,15,21.02.2021,Веб-дизайн,1
13742,12,21.02.2021,Python Базовый,1
13746,12,28.02.2021,Python Базовый,1
13752,14,21.02.2021,Python Базовый,0
13756,14,21.02.2021,Веб-дизайн,1
13760,13,21.02.2021,Python Базовый,1
13763,13,28.02.2021,Веб-дизайн,0
13767,10,21.02.2021,Python Базовый,0
13769,13,21.02.2021,Python Базовый,1
13770,13,21.02.2021,Python Базовый,1
13771,13,21.02.2021,Веб-дизайн,1
13778,12,21.02.2021,Python Базовый,1
13779,12,21.02.2021,Python Базовый,0
13784,14,14.02.2021,Python Базовый,0
13787,13,21.02.2021,Python Базовый,1
